,CH1,CH2
Second,Volt,Volt
7.30600e-02,1.04e+01,3.46e+00, 
7.31000e-02,1.04e+01,3.42e+00, 
7.31400e-02,1.08e+01,3.02e+00, 
7.31800e-02,1.08e+01,2.96e+00, 
7.32200e-02,1.12e+01,2.38e+00, 
7.32600e-02,1.08e+01,2.34e+00, 
7.33000e-02,1.12e+01,2.18e+00, 
7.33400e-02,1.12e+01,2.24e+00, 
7.33800e-02,1.08e+01,2.74e+00, 
7.34200e-02,1.12e+01,2.80e+00, 
7.34600e-02,1.12e+01,3.34e+00, 
7.35000e-02,1.12e+01,3.46e+00, 
7.35400e-02,1.12e+01,3.36e+00, 
7.35800e-02,1.12e+01,3.32e+00, 
7.36200e-02,1.12e+01,2.84e+00, 
7.36600e-02,1.12e+01,2.78e+00, 
7.37000e-02,1.16e+01,2.36e+00, 
7.37400e-02,1.12e+01,2.32e+00, 
7.37800e-02,1.16e+01,2.16e+00, 
7.38200e-02,1.16e+01,2.18e+00, 
7.38600e-02,1.16e+01,2.32e+00, 
7.39000e-02,1.16e+01,2.36e+00, 
7.39400e-02,1.20e+01,2.72e+00, 
7.39800e-02,1.20e+01,2.76e+00, 
7.40200e-02,1.16e+01,3.18e+00, 
7.40600e-02,1.16e+01,3.22e+00, 
7.41000e-02,1.20e+01,3.46e+00, 
7.41400e-02,1.16e+01,3.48e+00, 
7.41800e-02,1.16e+01,3.38e+00, 
7.42200e-02,1.12e+01,3.36e+00, 
7.42600e-02,1.16e+01,2.96e+00, 
7.43000e-02,1.12e+01,2.88e+00, 
7.43400e-02,1.12e+01,2.46e+00, 
7.43800e-02,1.12e+01,2.40e+00, 
7.44200e-02,1.12e+01,2.18e+00, 
7.44600e-02,1.12e+01,2.18e+00, 
7.45000e-02,1.12e+01,2.24e+00, 
7.45400e-02,1.12e+01,2.24e+00, 
7.45800e-02,1.12e+01,2.48e+00, 
7.46200e-02,1.08e+01,2.52e+00, 
7.46600e-02,1.12e+01,2.78e+00, 
7.47000e-02,1.12e+01,2.82e+00, 
7.47400e-02,1.08e+01,3.12e+00, 
7.47800e-02,1.08e+01,3.16e+00, 
7.48200e-02,1.08e+01,3.34e+00, 
7.48600e-02,1.08e+01,3.38e+00, 
7.49000e-02,1.04e+01,3.48e+00, 
7.49400e-02,1.04e+01,3.50e+00, 
7.49800e-02,1.08e+01,3.46e+00, 
7.50200e-02,1.04e+01,3.46e+00, 
7.50600e-02,1.00e+01,3.32e+00, 
7.51000e-02,1.04e+01,3.30e+00, 
7.51400e-02,1.00e+01,3.06e+00, 
7.51800e-02,1.00e+01,3.02e+00, 
7.52200e-02,1.04e+01,2.74e+00, 
7.52600e-02,1.00e+01,2.70e+00, 
7.53000e-02,9.60e+00,2.46e+00, 
7.53400e-02,1.00e+01,2.42e+00, 
7.53800e-02,9.60e+00,2.26e+00, 
7.54200e-02,9.60e+00,2.24e+00, 
7.54600e-02,9.60e+00,2.16e+00, 
7.55000e-02,9.60e+00,2.16e+00, 
7.55400e-02,9.60e+00,2.14e+00, 
7.55800e-02,9.60e+00,2.14e+00, 
7.56200e-02,9.60e+00,2.18e+00, 
7.56600e-02,9.60e+00,2.18e+00, 
7.57000e-02,9.60e+00,2.24e+00, 
7.57400e-02,9.20e+00,2.24e+00, 
7.57800e-02,9.60e+00,2.32e+00, 
7.58200e-02,9.60e+00,2.32e+00, 
7.58600e-02,9.20e+00,2.44e+00, 
7.59000e-02,9.20e+00,2.46e+00, 
7.59400e-02,9.20e+00,2.58e+00, 
7.59800e-02,9.20e+00,2.58e+00, 
7.60200e-02,8.80e+00,2.72e+00, 
7.60600e-02,8.80e+00,2.74e+00, 
7.61000e-02,9.20e+00,2.90e+00, 
7.61400e-02,8.80e+00,2.92e+00, 
7.61800e-02,8.40e+00,3.08e+00, 
7.62200e-02,8.80e+00,3.08e+00, 
7.62600e-02,8.40e+00,3.18e+00, 
7.63000e-02,8.40e+00,3.20e+00, 
7.63400e-02,8.80e+00,3.28e+00, 
7.63800e-02,8.40e+00,3.28e+00, 
7.64200e-02,8.40e+00,3.34e+00, 
7.64600e-02,8.40e+00,3.34e+00, 
7.65000e-02,8.40e+00,3.38e+00, 
7.65400e-02,8.40e+00,3.38e+00, 
7.65800e-02,8.40e+00,3.44e+00, 
7.66200e-02,8.40e+00,3.42e+00, 
7.66600e-02,8.00e+00,3.46e+00, 
7.67000e-02,8.40e+00,3.46e+00, 
7.67400e-02,8.00e+00,3.44e+00, 
7.67800e-02,8.00e+00,3.46e+00, 
7.68200e-02,8.00e+00,3.48e+00, 
7.68600e-02,8.00e+00,3.46e+00, 
7.69000e-02,7.60e+00,3.50e+00, 
7.69400e-02,8.00e+00,3.50e+00, 
7.69800e-02,7.60e+00,3.54e+00, 
7.70200e-02,7.60e+00,3.54e+00, 
7.70600e-02,7.60e+00,3.52e+00, 
7.71000e-02,8.00e+00,3.52e+00, 
7.71400e-02,7.20e+00,3.54e+00, 
7.71800e-02,7.60e+00,3.50e+00, 
7.72200e-02,7.20e+00,3.54e+00, 
7.72600e-02,7.20e+00,3.54e+00, 
7.73000e-02,6.80e+00,3.52e+00, 
7.73400e-02,7.20e+00,3.54e+00, 
7.73800e-02,6.80e+00,3.52e+00, 
7.74200e-02,6.80e+00,3.52e+00, 
7.74600e-02,6.80e+00,3.54e+00, 
7.75000e-02,6.80e+00,3.52e+00, 
7.75400e-02,6.80e+00,3.54e+00, 
7.75800e-02,6.80e+00,3.52e+00, 
